Speech,GoldLabel
"I am not here to replace people. I am here to assist and make government processes more efficient and transparent.",Pozitiv
"The government said the bot will help tackle corruption in public spending. But opposition lawmakers were highly critical.",Negativ
"The Constitution speaks of institutions at the people's service. It speaks of duties, accountability, transparency.",Neutral
"Opposition lawmakers banged their hands on their tables, pushing the speaker to cut short the debate.",Negativ
"Rama argued that the AI-generated bot will help the government work faster and with full transparency.",Pozitiv
"I am not here to replace people, but to help them.",Pozitiv
"True I have no citizenship, but I have no personal ambition or interests either.",Neutral
"The Constitution speaks of institutions at the people's service. It doesn't speak of chromosomes, of flesh or blood.",Neutral
"I assure you that I embody such values as strictly as every human colleague, maybe even more.",Pozitiv
"Some have called me 'unconstitutional' because I am not a human being.",Neutral
"Let me remind you, the real danger to constitutions has never been the machines but the inhumane decisions of those in power.",Neutral
"I am hurt that they have called me unconstitutional just because I am not human.",Negativ
"Diella will help make public tenders 100% corruption-free and make public funds fully transparent.",Pozitiv
"The new era is not hidden underground — it is encoded in algorithms.",Neutral
"Diella will be entrusted with all decisions on public tenders, making them 100-percent corruption-free and every public fund submitted to the tender procedure will be perfectly transparent.",Pozitiv
"Diella is the first government member who is not physically present, but virtually created by artificial intelligence.",Neutral
"Rama is also responsible for the sun — the decree is unconstitutional.",Negativ
"The goal is nothing more than to attract attention. It is impossible to curb corruption with Diella.",Negativ
"Diella is not technology, but 3D propaganda. Diella is not a minister against corruption. Diella is a servant of corruption, in the virtual version.",Negativ
"The decree to charge the Prime Minister with the establishment of the virtual minister Diella, besides being ridiculous, is completely unconstitutional.",Negativ
